======================================================================
     قائمة الأصناف الكاملة مع أكواد الشركة
     تاريخ الإنتاج: ١٧‏/٧‏/٢٠٢٦
======================================================================

======================================================================
  BR - مواسير وتوصيلات PPR
  مكوّد: 208 | غير مكوّد: 24 | الإجمالي: 232
======================================================================

  ✅ الأصناف المكوّدة:
  ------------------------------------------------------------------
  ID      كود الشركة      اسم الصنف
  20085   353091013       صليبه ٣ بوصه اسمارت هوم
  20086   333030004       متر مواسير ٣ بوصه ٥مم سمارت ابيض
  20087   353020003       كوع ٣ بوصه عاده سمارت أبيض
  20088   353030002       كوع ٣ بوصه بباب سمارت أبيض
  20089   353020003       كوع ٣ بوصه مفتوح سمارت أبيض
  20090   373020002       رقبة بيبه ١٥*١٥ سمارت
  20091   373020003       رقبة بيبه ٢٠*٣٠ سمارت
  20092   353060004       مشترك ٣ بوصه عاده سمارت أبيض
  20093   353090002       مشترك ٣ بوصه بباب سمارت أبيض
  20094   353060004       مشترك ٣ بوصه مفتوح سمارت أبيض
  20095   373010012       بيبة ٣ * ١,٥ بوصه سمارت أبيض
  20096   373010029       بيبة ٣ * ٢ بوصه سمارت أبيض
  20097   353080001       مشترك مسلوب ٣ * ١.٥ بوصه عاده سمارت أبيض
  20098   353092001       مشترك مسلوب ٣ * ١.٥ بوصه بباب سمارت أبيض
  20099   373050021       مشترك مسلوب ٣ * ٢ بوصه عاده سمارت أبيض
  20100   353092001       مشترك مسلوب ٣ * ٢ بوصه بباب سمارت أبيض
  20101   353080001       نقاص ٣ * ٢ بوصه سمارت أبيض
  20102   353093003       جلبة لصق ٣ بوصه سمارت أبيض
  20103   353095002       طبة تسليك ٣ بوصه سمارت أبيض
  20104   373040002       هوايه ٣ بوصه سمارت أبيض
  20105   352092003       بيبة ٣ * ٣ * ٨ سم اسمارت هوم
  20106   373099913       جلبة ٣ بوصه اصلاح اسمارت هوم
  20107   373099906       جرجور ٧٥ مم اسمارت هوم
  20108   353095006       طبة ٣ بوصه عميه
  20109   333010001       متر مواسير ١,٥ بوصه ٢.٥مم سمارت أبيض
  20110   371099135       جلبة ١,٥ بسن اسمارت هوم
  20111   353095012       طبة ١,٥ عميه
  20112   333010002       متر مواسير ١,٥ بوصه ٣.٧مم سمارت أبيض
  20113   353020001       كوع ١,٥ بوصه عاده سمارت أبيض
  20114   353020001       كوع ١,٥ بوصه مفتوح سمارت أبيض
  20115   353040002       كوع ١,٥ بوصه بسن سمارت أبيض
  20116   353040002       كوع ١,٢٥ * ١.٥ بوصه بسن سمارت أبيض
  20117   353060001       مشترك ١.٥ بوصه عاده سمارت أبيض
  20118   353060001       مشترك ١.٥ بوصه مفتوح سمارت أبيض
  20119   371099132       جلبة لصق ١,٥ بوصه سمارت أبيض
  20120   373099901       بيبه صفايه اسمارت هوم
  20121   353093001       قشره ٥٠ اسمارت * 48 هوم
  20122   333060007       م ١ بوصه ١.٨ اسمارت هوم
  20123   353095020       طبة ١ بوصه اسمارت هوم
  20124   333060008       م ١ بوصه سمك ٢.٤ اسمارت هوم
  20125   353020007       كوع ١ بوصه اسمارت هوم
  20126   353020007       كوع ١ بوصه مفتوح اسمارت هوم
  20127   353093007       جلبة ١ بوصه اسمارت هوم
  20128   353050007       واي ١ بوصه اسمارت هوم
  20129   353060000       مشترك ١ بوصه اسمارت هوم
  20130   352092008       بوش ١,٥ * ١ اسمارت هوم

======================================================================
  كيسيل - صرف KS
  مكوّد: 140 | غير مكوّد: 0 | الإجمالي: 140
======================================================================

  ✅ الأصناف المكوّدة:
  ------------------------------------------------------------------
  ID      كود الشركة      اسم الصنف
  ------------------------------------------------------------------
  40000   332020001       م مواسير كيسل ٥٠ مم
  40001   332020002       م مواسير كيسل ٧٥ مم
  40002   332020003       م مواسير كيسل ١١٠ مم
  40003   332020004       م مواسير كيسل ١٦٠ مم
  40004   342030001       يارده ١,٥ * ١,٥ مم
  40005   342020001       يارده ١ م ٧٥
  40006   342020002       يارده ١ م ١١٠ مم
  40007   342020005       يارده ٥٠ سم ١١٠ مم
  40008   342020010       يارده ٥٠ ملى ٧٥ سم كيسل
  40009   342010022       يارده ١ متر كيسل 63
  40010   371040029       محبس زاوية كبير - Active
  40011   332020020       متر ماسورة برتقالى (مدفون) 110 * 5
  40012   352010011       كوع ٤٥ درجة (مدفون) ١١٠
  40013   352010015       كوع ٨٧.٥ درجة (مدفون) ١١٠
  40014   352040014       مشترك ٨٧.٥ درجة (مدفون) 110
  40015   352040010       مشترك ٤٥ درجة (مدفون) 110
  40016   352080004       جلبة (مدفون) 110
  40017   352092006       مسلوب (مدفون) 110 / 160
  40018   352070009       مشترك صليبة (مدفون) ٤٥ درجة 110
  40019   332020004       متر ماسورة برتقالى (مدفون) 160 * 5.5
